Begin On (Days),ابدأ (بالأيام),
Duration (Days),المدة (أيام),
Timeline,الجدول الزمني,
% Progress,٪ التقدم,
Total Billed Hours,مجموع الساعات وصفت,
% Amount Billed,المبلغ٪ صفت,
%  Delivered,تم إيصاله٪,
% of materials delivered against this Sales Order,٪ من المواد الموردة أوصلت مقابل أمر المبيعات,
Contact No.,الاتصال رقم,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,موزع طرف ثالث / وكيل / دلّال / شريك / بائع التجزئة الذي يبيع منتجات الشركات مقابل عمولة.,
% Installed,٪ تم تركيب,
"A Product or a Service that is bought, sold or kept in stock.",منتج أو خدمة تم شراؤها أو بيعها أو حفظها في المخزون.,
Default Buying Cost Center,مركز التكلفة المشتري الافتراضي,
Default Supplier,مزود الافتراضي,
Default Expense Account,حساب النفقات الإفتراضي,
Default Selling Cost Center,مركز تكلفة المبيعات الافتراضي,
A logical Warehouse against which stock entries are made.,مستودع منطقي لقاء ما تم إدخاله من مخزون.,
Ongoing,جاري التنفيذ,
Resolution Date,تاريخ القرار,
Row #{}: Currency of {} - {} doesn't matches company currency.,الصف # {}: عملة {} - {} لا تطابق عملة الشركة.,
Is Mandatory,إلزامي,
Emails Queued,رسائل البريد الإلكتروني في قائمة الانتظار,
Generate New Invoices Past Due Date,إنشاء فواتير جديدة تجاوز تاريخ الاستحقاق,
Create Customer,إنشاء العميل,
Invoicing,الفواتير,
You cannot submit empty order.,لا يمكنك تقديم طلب فارغ.,
Please Select a Company,الرجاء تحديد شركة,
Please Select a Company.,الرجاء تحديد شركة.,
Numero has not set in the XML file,لم يتم تعيين نوميرو في ملف XML,
Failed to Authenticate the API key.,فشل مصادقة مفتاح API.,
Fiscal Year {0} Does Not Exist,السنة المالية {0} غير موجودة,
You do not have permissions to {} items in a {}.,ليس لديك أذونات لـ {} من العناصر في {}.,
You are not allowed to update as per the conditions set in {} Workflow.,غير مسموح لك بالتحديث وفقًا للشروط المحددة في {} سير العمل.,
You cannot create or cancel any accounting entries with in the closed Accounting Period {0},لا يمكنك إنشاء أو إلغاء أي قيود محاسبية في فترة المحاسبة المغلقة {0},
The selected change account {} doesn't belongs to Company {}.,حساب التغيير المحدد {} لا ينتمي إلى الشركة {}.,
Row #{}: POS Invoice {} is not against customer {},الصف رقم {}: فاتورة نقاط البيع {} ليست ضد العميل {},
Row #{}: POS Invoice {} is not submitted yet,الصف رقم {}: فاتورة نقاط البيع {} لم يتم تقديمها بعد,
Row #{}: POS Invoice {} has been {},الصف رقم {}: فاتورة نقاط البيع {} كانت {},
"The Access to Request for Quotation From Portal is Disabled. To Allow Access, Enable it in Portal Settings.",تم تعطيل الوصول إلى طلب عرض الأسعار من البوابة. للسماح بالوصول ، قم بتمكينه في إعدادات البوابة.,
you must select Capital Work in Progress Account in accounts table,يجب عليك تحديد حساب رأس المال قيد التقدم في جدول الحسابات,
You can also set default CWIP account in Company {},يمكنك أيضًا تعيين حساب CWIP الافتراضي في الشركة {},
Allow Item to Be Added Multiple Times in a Transaction,السماح بإضافة العنصر عدة مرات في المعاملة,
Row #{}: {} {} does not exist.,الصف رقم {}: {} {} غير موجود.,
You had {} errors while creating opening invoices. Check {} for more details,كان لديك {} من الأخطاء أثناء إنشاء الفواتير الافتتاحية. تحقق من {} لمزيد من التفاصيل,
"{0}, complete the operation {1} before the operation {2}.",{0} ، أكمل العملية {1} قبل العملية {2}.,
You can redeem upto {0}.,يمكنك استرداد ما يصل إلى {0}.,
{} has submitted assets linked to it. You need to cancel the assets to create purchase return.,قام {} بتقديم أصول مرتبطة به. تحتاج إلى إلغاء الأصول لإنشاء عائد شراء.,
Row #{}: Serial No {} cannot be returned since it was not transacted in original invoice {},الصف # {}: لا يمكن إرجاع الرقم التسلسلي {} لأنه لم يتم التعامل معه في الفاتورة الأصلية {},
Purchase Order Required for item {},طلب الشراء مطلوب للعنصر {},
Purchase Receipt Required for item {},إيصال الشراء مطلوب للعنصر {},
User {} is disabled. Please select valid user/cashier,المستخدم {} معطل. الرجاء تحديد مستخدم / أمين صندوق صالح,
{} can't be cancelled since the Loyalty Points earned has been redeemed. First cancel the {} No {},لا يمكن إلغاء {} نظرًا لاسترداد نقاط الولاء المكتسبة. قم أولاً بإلغاء {} لا {},
POS Invoice isn't created by user {},لم ينشئ المستخدم فاتورة نقاط البيع {},
Row #{}: {},رقم الصف {}: {},
Please add the account to root level Company - {},الرجاء إضافة الحساب إلى شركة على مستوى الجذر - {},
Tools,أدوات,
End Time,وقت الانتهاء,
Is Mandatory,إلزامي,
Assignment,مهمة,
Deleted Documents,المستندات المحذوفة,
Returned,تم إرجاعه,
Watch Video,شاهد الفيديو,
 Is Child Table, جدول تابع,
 Summary, الملخص,
# Req'd Items,# السلع المطلوبة,
% Occupied,محجوز,
'Account' in the Accounting section of Customer {0},'الحساب' في قسم المحاسبة الخاص بالعميل {0},
'Allow Multiple Sales Orders Against a Customer's Purchase Order','السماح بإنشاء طلبات مبيعات متعددة مقابل طلب الشراء الخاص بالعميل',
'Default {0} Account' in Company {1},'حساب {0} الافتراضي' في شركة {1},
'To Package No.' cannot be less than 'From Package No.',لا يمكن أن يكون 'الطرد إلى' أقل من 'الطرد من',
'{0}' should be in company currency {1}.,يجب أن يكون '{0}' بعملة الشركة {1}.,
(A) Qty After Transaction,الكَمَيَّة بعد العملية (أ).,
(B) Expected Qty After Transaction,(ب) الكَمَيَّة المتوقعة بعد العملية,
(D) Balance Stock Value,(د) قيمة المخزون المتبقي,
(E) Balance Stock Value in Queue,(هـ) قيمة المخزون المتبقي في الطابور,
(F) Change in Stock Value,(و) التغيير في قيمة المخزون,
(H) Change in Stock Value (FIFO Queue),(ح) التغيير في قيمة المخزون (طابور FIFO),
(H) Valuation Rate,(ح) معدل التقييم,
(I) Valuation Rate,(ط) معدل التقييم,
(J) Valuation Rate as per FIFO,(ي) معدل التقييم حسب FIFO,
(K) Valuation = Value (D) ÷ Qty (A),(ك) التقييم = القيمة (د) ÷ الكَمَيَّة (أ),
0-30 Days,0-30 يوماً,
11-50,١١-٥٠,
201-500,٢٠١-٥٠٠,
30-60,٣٠-٦٠,
30-60 Days,30-60 يوماً,
60-90,٦٠-٩٠,
60-90 Days,60-90 يوماً,
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">تفاصيل أخرى</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">لم يتم العثور على معاملات مصرفية مطابقة</div>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">إعدادات رقم الحساب</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">المبلغ بالكلمات</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">إعدادات التاريخ</label>",
<li>Item {0} in row(s) {1} billed more than {2}</li>,<li>المادة {0} في الصف (الصفوف) {1} تمت فوترته أكثر من {2}</li>,
<p>Cannot overbill for the following Items:</p>,<p/>لا يمكن زيادة الفاتورة للعناصر التالية:<p>,
"<p>Price List Rate has not been set as editable in Selling Settings. In this scenario, setting <strong>Update Price List Based On</strong> to <strong>Price List Rate</strong> will prevent auto-updation of Item Price.</p>Are you sure you want to continue?",<p>معدل قائمة الأسعار غير قابل للتعديل بحسب إعدادات البيع. وفي هذه الحاله فإن<strong>تحديث قائمة الأسعار بناء</strong> على <strong>معدل قائمة الأسعار</strong> سيمنع التحديث التلقائي لسعر المنتج.</p>هل أنت متأكد أنك تريد المتابعة؟,
"<p>To allow over-billing, please set allowance in Accounts Settings.</p>",<p>للسماح بإصدار الفواتير الزائدة، يُرجى ضبط الحد المسموح به في إعدادات الحسابات.</p>,
"<span class=""h4""><b>Masters &amp; Reports</b></span>","<span class=""h4""><b>المعاملات &amp; التقارير</b></span>",
<strong>Grand Total:</strong> {0},المجموع الكلي: {0},
<strong>Outstanding Amount:</strong> {0},<strong>المبلغ المستحِقّ:</strong> {0},
A - B,أ - ب,
A - C,أ - ج,
"A Price List is a collection of Item Prices either Selling, Buying, or both",قائمة الأسعار هي مجموعة من أسعار العناصر إما البيع أو الشراء أو كليهما,
A Reconciliation Job {0} is running for the same filters. Cannot reconcile now,يتم تشغيل {0} مهمة التسوية لنفس عوامل التصفية. لا يمكن التصالح الآن,
A customer must have primary contact email.,يجب أن يكون لدى العميل بريد إلكتروني أساسي للاتصال.,
A driver must be set to submit.,يجب تعيين برنامَج التشغيل للإرسال.,
API Details,تفاصيل واجهة برمجة التطبيقات,
Acceptance Criteria Formula,معادلة معايير القبول,
Acceptance Criteria Value,قيمة معايير القبول,
Account {0} doesn't belong to Company {1},الحساب {0} لا ينتمي إلى الشركة {1},
Actual Balance Qty,كَمَيَّة الرصيد الفعلي,
Actual Posting,النشر الفعلي,
Add Items in the Purpose Table,إضافة عناصر في جدول الأغراض,
Add Lead to Prospect,تحويل العميل المحتمل إلى عميل مؤهل,
Add Manually,أضف يدويّاً,
Add Or Deduct,إضافة أو خَصْم,
Add Serial / Batch Bundle,إضافة حزمة تسلسلية / دفعية,
Add Serial / Batch No,إضافة الرَّقْم التسلسلي / رَقْم الدفعة,
Add Serial / Batch No (Rejected Qty),إضافة الرَّقْم تسلسلي / دفعة (الكَمَيَّة المرفوضة),
Add Stock,إضافة مخزونا,
Add Sub Assembly,إضافة مجموعة فرعية,
Add details,إضافة تفاصيل,
Add to Prospect,أضف إلى احتمال,
Added On,تمت إضافته في,
Added Supplier Role to User {0}.,تمت إضافة دور المورد إلى المستخدم {0}.,
Adding Lead to Prospect...,جاري تحويل العميل المحتمل إلى عميل مؤهل...,
Additional Data,بيانات إضافية,
Adjustment Against,التعديل ضد,
Adjustment based on Purchase Invoice rate,التعديل بناءً على سعر وَرقة الحساب,
Advance Account: {0} must be in either customer billing currency: {1} or Company default currency: {2},حساب الدفع المقدم: {0} يجب أن يكون إما بعملة فواتير العميل: {1} أو بعملة الشركة الافتراضية: {2},
Advance paid against {0} {1} cannot be greater than Grand Total {2},لا يمكن أن يكون المبلغ المدفوع مقدمًا مقابل {0} {1} أكبر من الإجمالي الكلي {2},
Agent Busy Message,رسالة الوكيل مشغول,
All items in this document already have a linked Quality Inspection.,جميع العناصر في هذا المستند مرتبطة بفحص جودة.,
"All the required items (raw materials) will be fetched from BOM and populated in this table. Here you can also change the Source Warehouse for any item. And during the production, you can track transferred raw materials from this table.",عميل محتمل,
Allocate Payment Request,تخصيص طلب السداد,
Allocated To:,المخصصة ل:,
Allow Zero Rate,السماح بمعدل صفري,
Allowed primary roles are 'Customer' and 'Supplier'. Please select one of these roles only.,"الأدوار الأساسية المسموح بها هي ""العميل"" و""المورد"". يرجى تحديد أحد هذه الأدوار فقط.",
Already Picked,تم اختياره بالفعل,
Also you can't switch back to FIFO after setting the valuation method to Moving Average for this item.,أيضًا لا يمكنك العودة إلى FIFO بعد ضبط طريقة التقييم على المتوسط المتحرك لهذا العنصر.,
Alternative Items,العناصر البديلة,
"Alternatively, you can download the template and fill your data in.",..,
Annual Revenue,الإيراد السنوي,
Are you sure you want to delete this Item?,هل أنت متأكد أنك تريد حذف هذه المادة؟,
Batch No.,رقم دفعة.,
Call Received By,استلمت المكالمة من قبل,
Cannot receive from customer against negative outstanding,لا يمكن الاستلام من العميل مقابل مستحقات سالبة,
Contact Mobile,رقم الهاتف المحمول,
Create Journal Entries,إنشاء قيد الدفتر اليومي,
Creating Journal Entries...,جاري إنشاء قيد الدفتر اليومي...,
Creating Purchase Invoices ...,جاري إنشاء فاتورة شراء ...,
Creating Purchase Receipt ...,جاري إنشاء فاتورة شراء ...,
Creating Sales Invoices ...,جاري إنشاء فاتورة المبيعات ...,
Creating User...,جاري إنشاء المستخدم...,
Customer ,العميل ,
Customer Name: ,اسم العميل: ,
Customer: ,العميل: ,
Delay (In Days),التأخير (بالأيام),
Delete Dimension,حذف البُعد المحاسبي,
Delivery to,التوصيل إلى,
Demo data cleared,مُسحت البيانات التجريبية,
Document Type already used as a dimension,نوع المستند مستخدم بالفعل كبُعد محاسبي,
Email Address (required),عنوان البريد الإلكتروني (إجباري),
Error during caller information update,حدث خطأ أثناء تحديث معلومات المتصل,
Please make sure the file you are using has 'Parent Account' column present in the header.,"يرجى التأكد من أن الملف الذي تستخدمه يحتوي على عمود ""الحساب الأب"" في رأس الملف.",
Qty ,الكمية ,
Reference No,رقم المرجع,
Returned Qty ,عاد الكمية ,
Sales Partner ,شريك المبيعات ,
Time in mins.,الوقت بالدقائق.,
Warning!,تحذير!,
description,وصف,
fieldname,اسم الحقل,
variance,فرق,
{0} is added multiple times on rows: {1},{0} تمت إضافته عدة مرات في السطور: {1},
